-0.4841645504616191 -0.01796761060131153 -0.010041240652276837	-0.017967610601311537 -0.4983444721436234 -0.11022718040643184	0.010041240652276639 0.11022718040643237 -0.6175680051095879
0.40735965791989004 0.007795027854272861 0.02205449303997778	0.007795027854272062 0.40330570263416665 -0.07359253492997778	-0.022054493039978508 0.07359253492997658 0.4889526772620064
0.047714701953718165 -0.002790873488070057 -0.00025847329646237066	-0.0027908734880723284 0.05495996309165589 -0.0614348555699534	0.00025847329646163514 0.06143485556995268 0.02273451123891934
-0.3880470112057795 -0.012743612710051984 -0.018185512170023316	-0.012743612710049642 -0.39736953043815854 -0.08488798123656287	0.018185512170023566 0.08488798123656591 -0.5641475876924136
-0.04422235102548926 -0.009103570791001464 -0.011730146482838964	-0.009103570791000814 -0.08491937153008784 -0.07217568617360298	0.011730146482837742 0.07217568617360069 -0.14398103871561047
0.03582432354633619 -0.015646781404247224 -0.026865213402728634	-0.015646781404248848 0.018387452476804345 -0.08644127545210274	0.026865213402729148 0.08644127545210256 -0.0037827532268241287
-0.09513479610530988 -0.013719713688905583 -0.016714487722608168	-0.013719713688906983 -0.1288741135428015 -0.08181848390990448	0.01671448772260989 0.0818184839099034 -0.1678128294551075
-0.16280764958899055 -0.010921217829032876 -0.024858059916445074	-0.010921217829033915 -0.20874294489621575 -0.0979978593823472	0.024858059916446372 0.09799785938234631 -0.32656279968921903
-0.1629561875544953 -0.013509806121516584 -0.02112446871911418	-0.013509806121518069 -0.19732230144057622 -0.09209855253494822	0.021124468719117225 0.0920985525349475 -0.29320813452457684
-0.03882759960237922 -0.014458568840993117 -0.030821836011834004	-0.014458568840994349 -0.06502462141941869 -0.08490892552399466	0.030821836011835378 0.08490892552399676 -0.08181258926385197
0.012746250313242502 -0.003932257777431487 -0.02469606915842937	-0.003932257777432983 -0.010564392770134635 -0.08350392290857127	0.02469606915842977 0.08350392290857257 -0.06363956137630933
-0.2212753781429599 -0.01465792365282763 -0.022908115345226174	-0.014657923652824565 -0.23958854066205648 -0.09145453947457899	0.02290811534522626 0.09145453947457984 -0.3605501610160531
-0.23230825609278824 -0.01252683701989976 -0.013510269827285856	-0.01252683701989987 -0.23487116423045365 -0.08424850189689963	0.013510269827285946 0.0842485018969024 -0.36308376718508084
0.04258949820516158 0.000353710115694815 -0.008117616128582993	0.0003537101156957118 0.03863130210536624 -0.02954031868899109	0.00811761612858445 0.02954031868899197 0.0009426634987007125
-0.08103815861244075 9.380348888022444e-6 -0.04409448795139553	9.380348883827883e-6 -0.07760707101085704 -0.053012267248957884	0.04409448795139685 0.05301226724895872 -0.11746157850200276
-0.484164550461625 -0.01796761060130999 -0.010041240652281687	-0.017967610601312828 -0.4983444721436224 -0.1102271804064287	0.010041240652282034 0.11022718040642931 -0.6175680051095973
0.4073596579198985 0.007795027854272773 0.022054493039968016	0.007795027854273056 0.4033057026341592 -0.0735925349299757	-0.022054493039971094 0.07359253492997786 0.4889526772619913
0.04771470195370662 -0.0027908734880564092 -0.00025847329647666825	-0.002790873488057622 0.05495996309156129 -0.0614348555699535	0.00025847329647534986 0.06143485556995354 0.02273451123889366
-0.3880470112058159 -0.012743612710070087 -0.018185512170027073	-0.012743612710070747 -0.3973695304382244 -0.08488798123656194	0.018185512170024183 0.08488798123656208 -0.5641475876924548
-0.044222351025733436 -0.009103570790931593 -0.011730146482882602	-0.009103570790931124 -0.08491937153038381 -0.07217568617353962	0.011730146482881856 0.07217568617353849 -0.14398103871573925
0.03582432354653591 -0.015646781404099412 -0.02686521340256008	-0.015646781404098066 0.018387452476617445 -0.08644127545219303	0.0268652134025629 0.0864412754521895 -0.003782753226542923
-0.0951347961045704 -0.013719713688735277 -0.016714487722531986	-0.013719713688734798 -0.12887411354239947 -0.08181848391005722	0.016714487722529082 0.08181848391005783 -0.1678128294540408
-0.16280764958814573 -0.010921217829163858 -0.024858059916354952	-0.010921217829161334 -0.2087429448951543 -0.09799785938224768	0.02485805991635545 0.09799785938224916 -0.3265627996874675
-0.16295618755395813 -0.013509806121601976 -0.02112446871911905	-0.013509806121600697 -0.19732230144020807 -0.09209855253481476	0.021124468719117214 0.09209855253481364 -0.29320813452359207
-0.03882759960187015 -0.014458568841198737 -0.030821836011960514	-0.014458568841198102 -0.06502462141888991 -0.08490892552386187	0.03082183601196001 0.08490892552386274 -0.08181258926312679
0.01274625031355352 -0.0039322577774496175 -0.024696069158435974	-0.003932257777449965 -0.010564392769658863 -0.08350392290860753	0.024696069158437764 0.08350392290860681 -0.06363956137623672
