-0.0014899752881672862 -0.0022757509126382553 0.10347000243898652	-0.002275750912635634 0.006269611353763669 -0.020243370398544402	-0.103470002439015 0.020243370398547473 0.0019634278634666526
-0.002464756257310241 -0.0006562240205364063 0.10326898239771083	-0.0006562240205385053 -0.0013340378986820486 -0.018135016835513627	-0.1032689823977166 0.018135016835508964 -0.000738042846508722
-0.001624577165722037 0.0003934754454894603 0.10226232647303271	0.00039347544548801357 0.00008977229545840612 -0.017761178921045527	-0.10226232647301894 0.017761178921043192 0.0027963046192271933
-0.0003041133796900528 0.0002769236265170623 0.10397122223124063	0.0002769236265184917 -0.0005380631327459931 -0.01767238600432734	-0.1039712222312338 0.017672386004330985 0.00009002054430447444
-0.0006943765394872526 0.00023723124802837612 0.10420036462205544	0.00023723124802986582 -0.0002522974669063316 -0.017933616618393072	-0.10420036462204749 0.017933616618384052 -0.0007850821263356289
-0.001592842015038968 8.853160208738275e-6 0.10267260770124459	8.853160206930694e-6 0.0004008430797004213 -0.018350465808256795	-0.10267260770123574 0.01835046580826882 0.0008737801627188369
-0.0007685409799471242 -0.0011755650526238809 0.10238454817200354	-0.001175565052621846 0.0014910909098944103 -0.01875764809300426	-0.10238454817200866 0.01875764809300511 -7.375150546454212e-7
0.0003740892567150166 0.0003311046335751685 0.10348577773809352	0.000331104633579115 0.00008154675085978585 -0.019434662815838905	-0.10348577773809964 0.019434662815845386 0.00014438847983956268
-0.0022973872120788047 -0.00016650812099616025 0.10213670273101509	-0.0001665081209959833 -0.0002463438123366281 -0.018761527474609074	-0.10213670273103083 0.018761527474606597 -0.00005344426760764366
-0.0011032413514068084 -0.0006091775001832358 0.10370756674781445	-0.0006091775001825662 0.001837223977274375 -0.017362655855281173	-0.10370756674780693 0.01736265585528325 0.0012469664628807255
0.0004988685131140005 -0.0003281184786254922 0.10480005869396068	-0.00032811847862494053 0.0019072513923881138 -0.01683236196120555	-0.10480005869394579 0.016832361961187696 0.000011412951525462296
0.0008055840708382327 -0.0003293128505287915 0.10389664501959424	-0.00032931285052863885 0.0016113883973025295 -0.017009001858045256	-0.10389664501959073 0.017009001858037692 0.00098996365488002
0.0002661787865105283 -0.0002145398785871125 0.10140546476499404	-0.00021453987858852455 0.002734890497838708 -0.017445157979345677	-0.10140546476498394 0.01744515797934351 0.0035748874230838515
-0.001552439040645226 0.00012095991212479314 0.10293709728375781	0.00012095991212575374 -0.00004625990259039814 -0.01843176943043165	-0.10293709728375229 0.01843176943043645 -0.0007718224779568669
-0.005793952705031245 -0.0021988739771027083 0.10274433893702331	-0.0021988739771035444 0.001849406193331773 -0.018006554886153506	-0.10274433893705168 0.018006554886154783 0.0007879959455317151
-0.00013747328158846342 0.0002707921578290369 0.10339400048428336	0.000270792157827604 0.0011866151476065123 -0.017410905599911968	-0.10339400048429176 0.017410905599912277 0.0000914086820247087
-0.003137513427426599 -0.0009619728589825901 0.10130358070659702	-0.0009619728589828919 0.003917241296886604 -0.018801204756077106	-0.10130358070659823 0.018801204756064338 0.000730782194552488
0.0009569738513888031 -7.657712322004656e-6 0.10340909015013022	-7.657712321248317e-6 0.0008933907617930392 -0.01828793228347928	-0.10340909015013239 0.018287932283467208 0.00043329097646011006
-0.0018662509805238616 0.00008816228254491208 0.10388944097937186	0.00008816228254713947 0.0006091959116231987 -0.01780196913114976	-0.103889440979361 0.017801969131143812 0.00021639785960694824
-0.0018272416549071479 -0.0005979515899130032 0.10278278557947651	-0.0005979515899104653 -0.0008834459537063501 -0.017631319317874705	-0.10278278557946087 0.017631319317879948 0.0005385220277203534
0.0003920765362508197 -0.0004282123153162877 0.10402477227102322	-0.0004282123153130802 0.00043191063338039737 -0.01754130829641185	-0.10402477227102135 0.01754130829641502 -0.0003907122716931754
-0.0025469687484282635 -0.00003827662459732553 0.10299009756221304	-0.00003827662459941067 0.0007503607146482662 -0.018383537600724708	-0.10299009756220713 0.018383537600739394 -0.0007900861369659166
0.000772972140623007 -0.0011491324884373069 0.10103969851494593	-0.0011491324884344237 0.0007231076012870208 -0.020832513130988682	-0.10103969851494667 0.020832513130991253 -0.000017646200345203603
