0.0013469132276279325 0.0005745842971917308 0.10036477444836786	0.0005745842971928618 0.0013429242627649128 0.017847743957500047	-0.10036477444836585 -0.017847743957488144 0.003405558572882734
-0.0016450831337930143 0.0002755598654866887 0.1044115281944029	0.00027555986548727113 0.0008864711741382921 0.017529018777067164	-0.10441152819439264 -0.017529018777061117 0.0014154355146228075
-0.00016217706565693334 0.00009055229497713889 0.10370757690197868	0.00009055229498163616 0.00047980195572591526 0.0177157509274909	-0.10370757690197857 -0.017715750927480935 -0.0003355835427941963
0.00009175969475259602 -0.000028413742833311058 0.10232452742977217	-0.00002841374283539446 0.0004397123285288032 0.017530274278771317	-0.10232452742977133 -0.01753027427876019 -0.0003986474660747259
-0.0005953513005612686 -0.0003121793385357629 0.10283023129731403	-0.0003121793385402372 -0.00006792818310816587 0.017941395801156362	-0.1028302312973188 -0.017941395801153417 -0.000672970058656977
0.00035396727985937673 -0.000424827853305448 0.10582290560563251	-0.00042482785330377575 0.000020812249456015133 0.017259812308013094	-0.10582290560563781 -0.017259812308026923 0.00014463653233772085
-0.0016951098767434133 0.0003308601081338271 0.10051818844217447	0.0003308601081310203 0.001627092660469235 0.019685596930554532	-0.10051818844218786 -0.019685596930561745 0.002051923151574042
-0.0015178132065563482 0.00024673077465802926 0.10295907549825874	0.00024673077465878906 0.0013956027108955726 0.018311179891425767	-0.10295907549824157 -0.018311179891428032 0.0023372570096771867
0.00027696557243682505 -0.00044005943149851966 0.10422997378711281	-0.0004400594314971371 -0.00018905876146937256 0.017572860133932465	-0.10422997378711223 -0.017572860133938543 -0.00004547863618173907
-0.0012445433713576051 -0.00029985919747282583 0.10471582967654541	-0.0002998591974771956 -0.0007278619489348786 0.017795803815688387	-0.10471582967653967 -0.01779580381567857 -0.0007413323966719947
-0.0010297558718213706 -0.00008206055742355253 0.10115776279395793	-0.00008206055742484598 -0.0007014892413212907 0.017330183906509776	-0.10115776279395146 -0.017330183906493393 -0.0007280298343341905
-0.0004909431188790878 -0.0001050276059272378 0.1039446136674344	-0.00010502760592382386 -0.000598347154486898 0.01828370598629235	-0.10394461366744329 -0.018283705986289568 -0.0005732389850145545
0.00011705029924522197 0.00031241697646171816 0.10286398617986255	0.0003124169764624988 0.0024814903666247265 0.019417668597044045	-0.10286398617987244 -0.019417668597048878 0.0023938977690180782
-0.00028429129658304533 0.0004083474109851104 0.10258421200675318	0.00040834741098482244 -0.0006209027609104505 0.018585180256332323	-0.1025842120067666 -0.018585180256330856 0.0035117407441630707
-0.0021082862281015715 -0.0004850037229110942 0.1038637592995164	-0.00048500372290792657 -0.0007618701595566175 0.019223721634667505	-0.10386375929951135 -0.019223721634676474 -0.0006655641912090438
-0.0021601543898897542 0.00034627762855143907 0.10404924150406099	0.000346277628550825 0.00027332340951900097 0.01747097135520932	-0.10404924150404962 -0.01747097135520363 0.001537965738734692
-0.00582290717931592 0.0014428741486134239 0.1035607701418226	0.0014428741486132088 -0.0014548605587997223 0.01842793185424306	-0.10356077014179285 -0.018427931854248698 0.000558036892913949
-0.0007007134153212864 -0.00004722137491230179 0.1048453104761497	-0.000047221374912848665 -0.0004921453300319196 0.018296047699811253	-0.10484531047614631 -0.018296047699807926 -0.0009401439399080065
-0.00002493560305560699 0.00020069461099506223 0.10115444265843924	0.00020069461099298143 0.00021029779206753474 0.01795477776263144	-0.10115444265843973 -0.017954777762638527 -0.00048818220673168666
0.002095347488115822 0.0012585755299387488 0.10389491129802908	0.00125857552993693 0.0008414705111532764 0.01915906465729765	-0.1038949112980232 -0.019159064657301925 0.00024819736164372573
-0.0009421083188099729 0.0004809784824155194 0.10577879756836028	0.0004809784824104618 -0.0004686892876030087 0.018409659564278796	-0.10577879756835638 -0.01840965956428377 0.0003373568158118413
-0.003887321986117742 0.001128408040369842 0.10126009512521317	0.0011284080403738458 -0.001140397385620169 0.01850298235597226	-0.10126009512522845 -0.01850298235597147 -0.0006703899624151757
0.0016291908058560334 0.0010243296127468281 0.10340709994319787	0.001024329612747581 0.0020725018145320243 0.01685897592553346	-0.10340709994319709 -0.01685897592552144 0.0012438452918414333
0.0011036351335084191 0.0005859250089727671 0.10337926307483136	0.0005859250089698719 0.0019477390574576484 0.01724075162792181	-0.10337926307481926 -0.017240751627909064 0.0013926307806706242
-0.0024205642541817243 0.001623986410656893 0.10316335871937304	0.0016239864106530012 -0.0008031836908882466 0.018390321103973636	-0.10316335871935987 -0.018390321103969175 -3.8234379986547273e-7
-0.00022475763003470053 0.00015126829248721628 0.10199196704477675	0.00015126829248411286 -0.0005720783476928504 0.01612157343197924	-0.10199196704477491 -0.016121573431976885 -0.0012432796206169067
0.00023196482881292745 -0.0002088243713601651 0.1034346665680121	-0.0002088243713600029 0.00014664942208694048 0.017290924898412347	-0.103434666568012 -0.01729092489841543 -0.00013783905242724208
0.0019391567476835427 0.0015224814966733335 0.10344214510415178	0.0015224814966708425 0.006306679452055963 0.02022759554653765	-0.10344214510417006 -0.02022759554655699 0.0034668866836063267
-0.0004991406273251731 0.00029013612158306596 0.1031648260912806	0.00029013612158299094 0.001979146856764112 0.01934117447604362	-0.10316482609129266 -0.019341174476048016 0.0020463792900468295
-0.0029032535372830884 -0.00017275477164072333 0.10240982889216843	-0.00017275477164410778 0.00029146378421130575 0.01726514631524305	-0.10240982889217039 -0.017265146315241016 -0.0011585186192310769
0.00023893826676824785 -0.00002878398365996522 0.10354509506056327	-0.00002878398366242766 0.00022175380543130226 0.017503507701471164	-0.10354509506056053 -0.017503507701459177 -0.00004730994766243869
-0.00034353949055989513 -0.00016127420739312209 0.10442633736183761	-0.00016127420739307178 -0.0003437158300058536 0.017896191994827615	-0.10442633736183624 -0.017896191994824846 -0.0006363315111904619
-0.0031127462285617975 0.0016847567468511026 0.1037786053216893	0.0016847567468510107 -0.001447221663043629 0.017753769913805575	-0.10377860532166078 -0.0177537699138272 0.0029883780808160404
0.0007938548770442134 -0.00004856533097964775 0.1036868137916416	-0.0000485653309765942 0.0005272727943473002 0.01753513058049284	-0.10368681379164517 -0.017535130580510035 0.004160579558732332
-0.0010019081367985527 0.00017915697524128332 0.10204333507816811	0.0001791569752400326 -0.000185584219437724 0.01853158611721987	-0.10204333507817301 -0.018531586117230332 -0.000256783627295757
-0.0012336066104465257 0.0025962121473413593 0.10197481252673106	0.002596212147339335 -0.001087290097023328 0.01985731695850483	-0.10197481252673397 -0.019857316958487116 -0.0009495351184012919
-0.00010038697725860656 0.0009752655437798791 0.10407125446382016	0.0009752655437793786 -0.0017205652806998387 0.017021500272499688	-0.10407125446381967 -0.017021500272476675 -0.002107318096427767
