-0.0008050270357096391 -0.0004329346136694636 0.01858598372174892	-0.0004329346136690143 -0.002566856474121852 -0.10257502746202432	-0.018585983721740244 0.10257502746203698 -0.0018595304357425114
-0.0005732692006348526 -0.0008462987991170986 0.019361731483891968	-0.0008462987991179854 0.0006745622717041402 -0.10316357494691253	-0.01936173148389165 0.10316357494692009 -0.001013211546819679
-0.00038564411844934157 0.00021720126976397395 0.018674743998876114	0.00021720126976328483 0.00011699758706227702 -0.10446324217406695	-0.018674743998867767 0.1044632421740695 -0.00019356947199556046
-0.0007892162854326317 -0.000051392177859383836 0.017928822751428194	-0.00005139217785825323 -0.0003759560026546649 -0.10173784308346479	-0.017928822751432746 0.10173784308346673 -0.00004366923646416301
-0.0010752187350365726 -0.00002332235030588596 0.017758748577590997	-0.000023322350304881556 -0.0001521771949474244 -0.10402143310507828	-0.01775874857759462 0.10402143310507812 0.00015553912794413326
-0.0005268178164098535 0.00014875183142157864 0.016911355448392677	0.0001487518314182961 0.000024763957905011083 -0.10397532478178463	-0.01691135544839511 0.1039753247817782 -0.0002688857037292888
-0.0006006668789770814 -0.0012393609886872498 0.019622209584823976	-0.001239360988683243 0.0005011746672671964 -0.10404137072050276	-0.01962220958482836 0.10404137072048768 -0.0011751883779173126
-0.001376677442212858 -0.001452583130622619 0.02009829281173453	-0.0014525831306224576 -0.00023920400392520372 -0.10066822842225054	-0.020098292811737778 0.10066822842225942 -0.001696102989482085
-0.00033064260798637383 0.00010042476041773052 0.016773232160960688	0.00010042476042040199 0.00035360985074152536 -0.1054757154294071	-0.016773232160959092 0.10547571542940062 -0.00011591140955164586
-0.0005510968346982294 -0.00006809913477321371 0.01851065247803912	-0.00006809913477051621 0.0003942382598999569 -0.10336524996714914	-0.018510652478034927 0.10336524996715293 0.000611189035456876
0.00006095033174705229 -0.00003779354371515964 0.017833155539314686	-0.00003779354371619137 0.00042932504284967296 -0.10245268383940186	-0.017833155539316574 0.10245268383940745 -0.000011051207007590092
0.00017226238969929525 -0.00006014506515605736 0.017498733344267516	-0.00006014506515961875 0.0010247886559539153 -0.10353518864694572	-0.017498733344259255 0.10353518864694052 -0.0004992047913940502
-0.0006242505520432946 -0.0009570724946206849 0.01742951625530735	-0.0009570724946214176 0.0006461618502342694 -0.10411292262673452	-0.017429516255310203 0.10411292262672134 -0.0018360747290330154
0.0018707741800152236 -0.0004173194416718408 0.01786375079748899	-0.0004173194416724167 0.0003059625819918071 -0.10033182335418736	-0.01786375079747726 0.10033182335418733 -0.0013394682295283442
-0.002843361061112208 -0.0005685966530216647 0.020142433869604848	-0.0005685966530232971 0.0001664956741018143 -0.10343606825375391	-0.02014243386961181 0.10343606825374611 -0.000012601520404719423
-0.0011330433928829955 -0.0009824963850350549 0.01945403502645413	-0.0009824963850351316 0.00018506367378495411 -0.10285970965069058	-0.019454035026449806 0.10285970965069734 -0.001928505482290177
0.002268421408595506 -0.0011337436348620262 0.02024964285681527	-0.0011337436348610218 0.0015679634934396332 -0.10341652831845748	-0.020249642856824752 0.1034165283184714 0.00005739056876153531
0.000021103940042714424 0.00006912438003543308 0.017640428710940445	0.00006912438003552459 0.0003391610538737676 -0.10364128769851058	-0.017640428710942575 0.10364128769851037 0.0004022371255417677
