1.249000902703301e-16 1.474514954580286e-17 0.08442975717322555	8.68445940160889e-17 4.336808689942018e-17 0.00935499705865662	-0.08442975717322564 -0.009354997058656446 -8.673617379884035e-17
-3.5778671692021646e-17 3.122502256758253e-17 0.08442975717322554	9.367506770274758e-17 5.377642775528102e-17 0.00935499705865675	-0.08442975717322548 -0.009354997058656707 -9.150666335777657e-17
-6.591949208711867e-17 4.7704895589362195e-17 0.0844297571732256	-5.811323644522304e-17 -5.204170427930421e-18 0.009354997058656483	-0.08442975717322548 -0.00935499705865676 -2.2551405187698492e-17
2.7321894746634712e-17 -2.949029909160572e-17 0.0844297571732255	2.862293735361732e-17 -4.206704429243757e-17 0.00935499705865681	-0.08442975717322546 -0.009354997058656741 -1.2836953722228372e-16
-9.71445146547012e-17 -9.324138683375338e-17 0.08442975717322543	7.26415455565288e-17 -1.1145598333150986e-16 0.009354997058656672	-0.08442975717322566 -0.009354997058656746 1.7780915628762273e-17
-1.0625181290357943e-17 1.5634195327240974e-16 0.08442975717322543	-2.5587171270657905e-17 -7.524363077049401e-17 0.009354997058656734	-0.08442975717322546 -0.009354997058656486 8.500145032286355e-17
9.367506770274758e-17 5.681219383824043e-17 0.08442975717322537	-7.719519468096792e-17 8.413408858487514e-17 0.009354997058656868	-0.08442975717322557 -0.009354997058656531 -2.6020852139652106e-17
4.683753385137379e-17 4.336808689942018e-18 0.08442975717322561	-8.977193988179977e-17 -2.6020852139652106e-18 0.009354997058656427	-0.08442975717322533 -0.009354997058656602 4.380176776841438e-17
-1.3530843112619095e-16 -2.6020852139652106e-17 0.08442975717322554	-1.0408340855860843e-17 8.456776945386935e-17 0.009354997058656434	-0.08442975717322569 -0.009354997058656549 4.0766001685454967e-17
1.1796119636642288e-16 -1.951563910473908e-18 0.08442975717322566	-9.8879238130678e-17 7.37257477290143e-17 0.009354997058656488	-0.08442975717322561 -0.009354997058656792 4.7271214720367993e-17
1.43982048506075e-16 -1.2533377113932431e-16 0.08442975717322544	-4.163336342344337e-17 -2.0643209364124004e-16 0.009354997058656448	-0.08442975717322584 -0.009354997058656552 -4.163336342344337e-17
-7.632783294297951e-17 -8.586881206085195e-17 0.08442975717322553	8.630249292984615e-17 -9.71445146547012e-17 0.009354997058656618	-0.08442975717322553 -0.009354997058656733 -8.239936510889834e-18
-1.0191500421363742e-16 -1.6479873021779667e-17 0.08442975717322546	-1.8908485888147197e-16 4.423544863740858e-17 0.009354997058656592	-0.08442975717322548 -0.009354997058656498 -3.469446951953614e-17
1.6479873021779667e-17 -5.811323644522304e-17 0.08442975717322541	1.3010426069826053e-16 1.487525380650112e-16 0.009354997058656542	-0.08442975717322568 -0.00935499705865648 -2.2551405187698492e-17
-6.852157730108388e-17 -8.456776945386935e-17 0.08442975717322537	7.112366251504909e-17 -1.2836953722228372e-16 0.009354997058656516	-0.08442975717322553 -0.009354997058656533 -3.469446951953614e-17
4.423544863740858e-17 -7.19910242530375e-17 0.08442975717322553	2.211772431870429e-17 9.8879238130678e-17 0.009354997058656651	-0.08442975717322551 -0.009354997058656438 2.168404344971009e-17
6.114900252818245e-17 -3.946495907847236e-17 0.08442975717322547	-2.662800535624399e-16 1.249000902703301e-16 0.009354997058656694	-0.08442975717322529 -0.009354997058656453 4.85722573273506e-17
-1.0711917464156784e-16 8.326672684688674e-17 0.08442975717322551	-7.025630077706069e-17 -1.9949319973733282e-17 0.009354997058656504	-0.08442975717322548 -0.009354997058656639 -5.0306980803327406e-17
2.3418766925686896e-17 -1.3444106938820255e-17 0.0844297571732253	-1.5916087892087205e-16 5.898059818321144e-17 0.009354997058656736	-0.08442975717322555 -0.009354997058656719 -8.500145032286355e-17
-1.1752751549742868e-16 -7.32920668600201e-17 0.08442975717322579	-3.361026734705064e-17 -1.0928757898653885e-16 0.009354997058656491	-0.08442975717322564 -0.009354997058656762 3.8163916471489756e-17
9.194034422677078e-17 1.1622647289044608e-16 0.0844297571732255	-9.80118763926896e-17 -1.1622647289044608e-16 0.009354997058656342	-0.08442975717322604 -0.009354997058656653 -5.074066167232161e-17
-2.949029909160572e-17 -1.0234868508263162e-16 0.0844297571732256	-3.0574501264091225e-17 -1.205632815803881e-16 0.009354997058656837	-0.08442975717322541 -0.009354997058656327 1.9949319973733282e-17
-4.5102810375396984e-17 -1.470178145890344e-16 0.08442975717322562	1.3660947373317356e-16 2.949029909160572e-17 0.009354997058656377	-0.08442975717322562 -0.009354997058656648 3.642919299551295e-17
9.367506770274758e-17 5.117434254131581e-17 0.08442975717322564	1.708702623837155e-16 -1.3877787807814457e-17 0.009354997058656712	-0.08442975717322546 -0.009354997058656347 1.474514954580286e-17
-2.42861286636753e-17 -2.168404344971009e-17 0.08442975717322586	4.2500725161431774e-17 9.562663161322149e-17 0.009354997058656597	-0.08442975717322557 -0.009354997058656635 3.8163916471489756e-17
-1.431146867680866e-17 6.635317295611287e-17 0.08442975717322558	1.3877787807814457e-17 1.7780915628762273e-17 0.009354997058656566	-0.0844297571732258 -0.009354997058656648 4.2934406030425976e-17
-2.6454533008646308e-17 1.459336124165489e-16 0.08442975717322551	5.377642775528102e-17 -1.5482407023093003e-16 0.009354997058656642	-0.08442975717322539 -0.009354997058656844 -6.505213034913027e-17
-2.0816681711721685e-17 -9.80118763926896e-17 0.08442975717322548	-3.0357660829594124e-18 3.3089850304257595e-16 0.00935499705865648	-0.08442975717322562 -0.009354997058656793 -3.469446951953614e-17
1.6349768761081407e-16 -1.8409752888803865e-16 0.08442975717322544	-1.0234868508263162e-16 5.2909066017292616e-17 0.00935499705865659	-0.0844297571732255 -0.009354997058656637 -5.204170427930421e-18
-3.382710778154774e-17 -7.806255641895632e-17 0.08442975717322564	1.5222198501696482e-16 9.367506770274758e-17 0.009354997058656448	-0.08442975717322557 -0.009354997058656495 -5.117434254131581e-17
-1.3227266504323154e-16 -7.112366251504909e-17 0.0844297571732256	1.3660947373317356e-17 3.122502256758253e-17 0.009354997058656705	-0.0844297571732254 -0.009354997058656589 9.540979117872439e-18
6.5052130349130266e-18 4.119968255444917e-17 0.0844297571732256	-7.806255641895632e-17 3.903127820947816e-18 0.009354997058656462	-0.08442975717322529 -0.009354997058656653 2.47198095326695e-17
7.112366251504909e-17 -1.4181364416110398e-16 0.08442975717322564	4.336808689942018e-17 1.0538445116559103e-16 0.009354997058656628	-0.08442975717322541 -0.009354997058656497 7.806255641895632e-17
-3.903127820947816e-18 -1.4051260155412137e-16 0.08442975717322547	-7.806255641895632e-18 8.153200337090993e-17 0.00935499705865645	-0.08442975717322584 -0.009354997058656821 -1.470178145890344e-16
3.230922474006803e-17 4.185020385794047e-17 0.08442975717322554	2.3332030751888055e-16 -9.80118763926896e-17 0.00935499705865671	-0.08442975717322543 -0.009354997058656535 5.0306980803327406e-17
-4.466912950640278e-17 -1.5525775109992423e-16 0.08442975717322534	9.71445146547012e-17 -8.673617379884035e-19 0.009354997058656798	-0.08442975717322562 -0.009354997058656677 -7.24247051220317e-17
9.497611030973019e-17 -6.071532165918825e-17 0.08442975717322568	-1.7867651802561113e-16 4.85722573273506e-17 0.009354997058656507	-0.08442975717322543 -0.009354997058656781 9.194034422677078e-17
-4.336808689942018e-17 2.8189256484623115e-17 0.08442975717322536	-2.0122792321330962e-16 8.673617379884035e-18 0.009354997058656556	-0.08442975717322541 -0.009354997058656448 9.540979117872439e-17
-1.5525775109992423e-16 2.42861286636753e-17 0.08442975717322546	2.970713952610282e-17 8.326672684688674e-17 0.009354997058656158	-0.08442975717322544 -0.009354997058656637 1.1145598333150986e-16
1.3140530330524314e-16 3.9898639947466563e-17 0.0844297571732256	-1.1275702593849246e-17 1.2663481374630692e-16 0.009354997058656788	-0.08442975717322554 -0.009354997058656412 5.637851296924623e-18
5.681219383824043e-17 -1.2750217548429532e-16 0.08442975717322554	-4.380176776841438e-17 7.068998164605489e-17 0.009354997058656611	-0.08442975717322561 -0.009354997058656691 9.107298248878237e-18
-6.375108774214766e-17 5.681219383824043e-17 0.08442975717322551	-3.469446951953614e-18 -2.42861286636753e-17 0.009354997058656818	-0.08442975717322557 -0.00935499705865662 -5.724587470723463e-17
-1.5872719805187785e-16 1.5178830414797062e-17 0.08442975717322547	2.47198095326695e-17 4.423544863740858e-17 0.009354997058656734	-0.08442975717322564 -0.009354997058656628 -1.3010426069826053e-17
1.2663481374630692e-16 -6.158268339717665e-17 0.08442975717322558	-2.1423834928313568e-16 -4.7271214720367993e-17 0.00935499705865653	-0.08442975717322547 -0.009354997058656677 -5.724587470723463e-17
