1.951563910473908e-17 -1.5265566588595902e-16 0.08001716651619924	3.469446951953614e-18 -1.0538445116559103e-16 0.014142404508777996	-0.08001716651619888 -0.014142404508777942 6.938893903907228e-18
8.890457814381136e-17 -7.068998164605489e-17 0.0800171665161991	-7.28583859910259e-17 -1.0755285551056204e-16 0.014142404508777896	-0.08001716651619897 -0.014142404508778003 1.1796119636642288e-16
1.973247953923618e-17 -7.567731163948821e-17 0.08001716651619895	-1.691355389077387e-17 2.168404344971009e-17 0.01414240450877793	-0.080017166516199 -0.014142404508777712 -1.214306433183765e-17
3.404394821604484e-17 -7.41594285980085e-17 0.08001716651619886	2.8189256484623115e-17 3.165870343657673e-17 0.014142404508777918	-0.08001716651619908 -0.01414240450877783 2.862293735361732e-17
1.0321604682062002e-16 1.214306433183765e-17 0.0800171665161991	-3.0357660829594124e-18 -1.214306433183765e-17 0.014142404508777904	-0.08001716651619913 -0.014142404508777955 3.946495907847236e-17
9.84455572616838e-17 -1.3791051634015616e-16 0.0800171665161991	4.597017211338539e-17 6.5052130349130266e-18 0.014142404508777852	-0.080017166516199 -0.014142404508778031 -2.2551405187698492e-17
-1.1926223897340549e-17 -4.336808689942018e-17 0.08001716651619906	7.719519468096792e-17 1.0321604682062002e-16 0.014142404508777847	-0.08001716651619886 -0.014142404508777873 -4.423544863740858e-17
8.933825901280557e-17 -4.423544863740858e-17 0.0800171665161991	-1.9949319973733282e-17 -3.0357660829594124e-17 0.014142404508777837	-0.0800171665161992 -0.014142404508777687 -3.2959746043559335e-17
1.3791051634015616e-16 1.4268100589909238e-16 0.08001716651619917	-1.0581813203458523e-16 -2.3418766925686896e-17 0.014142404508777946	-0.08001716651619913 -0.014142404508777913 8.803721640582296e-17
5.377642775528102e-17 3.469446951953614e-18 0.08001716651619893	-1.0668549377257364e-16 3.3393426912553537e-17 0.014142404508778007	-0.08001716651619918 -0.014142404508777979 -4.683753385137379e-17
6.678685382510707e-17 -9.996344030316351e-17 0.08001716651619924	-4.336808689942018e-17 -6.765421556309548e-17 0.014142404508778048	-0.08001716651619889 -0.01414240450877795 1.2576745200831851e-16
-1.244664094013359e-16 2.8189256484623115e-18 0.08001716651619911	8.543513119185775e-17 5.421010862427522e-17 0.014142404508777849	-0.08001716651619906 -0.014142404508777857 9.020562075079397e-17
-4.90059381963448e-17 -8.239936510889834e-17 0.08001716651619913	-6.331740687315346e-17 1.734723475976807e-16 0.01414240450877796	-0.08001716651619901 -0.014142404508778107 -2.7755575615628914e-17
4.2500725161431774e-17 -4.336808689942018e-18 0.08001716651619883	1.8561541192951836e-16 -7.827939685345342e-17 0.01414240450877793	-0.08001716651619889 -0.014142404508777965 -5.594483210025203e-17
5.4643789493269423e-17 1.734723475976807e-18 0.08001716651619908	2.862293735361732e-17 -6.288372600415926e-17 0.014142404508778093	-0.08001716651619872 -0.014142404508778149 6.245004513516506e-17
-1.214306433183765e-17 -6.938893903907228e-18 0.0800171665161991	-2.949029909160572e-17 -3.903127820947816e-17 0.014142404508777875	-0.08001716651619901 -0.014142404508777722 -8.500145032286355e-17
-1.3227266504323154e-17 -8.500145032286355e-17 0.08001716651619895	-1.1796119636642288e-16 -1.1926223897340549e-17 0.014142404508777904	-0.08001716651619914 -0.01414240450877815 1.7564075194265172e-16
-6.808789643208968e-17 1.209969624493823e-16 0.08001716651619906	3.426078865054194e-17 6.765421556309548e-17 0.014142404508777824	-0.08001716651619904 -0.014142404508777856 1.8431436932253575e-17
-3.0357660829594124e-17 6.353424730765056e-17 0.08001716651619913	-3.2959746043559335e-17 2.6020852139652106e-18 0.014142404508777927	-0.08001716651619913 -0.014142404508777996 3.8163916471489756e-17
2.0816681711721685e-17 5.160802341031001e-17 0.08001716651619908	6.678685382510707e-17 4.163336342344337e-17 0.014142404508778053	-0.08001716651619904 -0.014142404508777812 -1.6479873021779667e-17
3.946495907847236e-17 -1.734723475976807e-17 0.08001716651619882	4.336808689942018e-18 6.21247844834194e-17 0.01414240450877809	-0.08001716651619913 -0.014142404508778031 2.5153490401663703e-16
1.214306433183765e-17 5.594483210025203e-17 0.08001716651619903	5.204170427930421e-17 7.502679033599691e-17 0.014142404508777942	-0.08001716651619888 -0.014142404508777798 9.324138683375338e-17
-1.734723475976807e-17 -9.020562075079397e-17 0.08001716651619882	5.898059818321144e-17 2.862293735361732e-17 0.014142404508777818	-0.08001716651619906 -0.014142404508777944 -3.642919299551295e-17
-1.3877787807814457e-17 -1.968911145233676e-16 0.08001716651619897	-1.474514954580286e-17 -9.93129189996722e-17 0.014142404508777875	-0.08001716651619903 -0.014142404508778027 6.158268339717665e-17
-8.370040771588094e-17 -1.7564075194265172e-16 0.08001716651619893	7.068998164605489e-17 -1.0061396160665481e-16 0.014142404508777944	-0.0800171665161992 -0.014142404508777824 -1.474514954580286e-17
1.214306433183765e-17 -2.862293735361732e-17 0.08001716651619895	-1.441988889405721e-16 -9.71445146547012e-17 0.014142404508777903	-0.0800171665161991 -0.014142404508777857 4.90059381963448e-17
4.163336342344337e-17 6.895525817007808e-17 0.08001716651619906	-1.1796119636642288e-16 -4.9873299934333204e-17 0.014142404508777988	-0.08001716651619908 -0.014142404508778078 -3.2959746043559335e-17
