0.04153368777283857 -0.0031882248486785527 0.11189795022500988	-0.0031882248486797176 0.010582365321318196 -0.021831771836996222	-0.11189795022500766 0.021831771836996486 0.042285470215703724
0.04153368997084354 -0.003188220855083145 0.11189794863572264	-0.003188220855085239 0.01058237511510433 -0.021831770957109885	-0.1118979486357201 0.02183177095710969 0.04228548656670903
0.041533684422834796 -0.0031882251190000982 0.11189795199061803	-0.0031882251190012557 0.010582357332222717 -0.02183177335923603	-0.11189795199061753 0.021831773359236778 0.042285456140811584
0.04153368075349065 -0.003188224556298744 0.11189795521557164	-0.0031882245562952025 0.010582343133478701 -0.021831776745592328	-0.11189795521557061 0.021831776745593962 0.042285435723034386
0.04153368322087881 -0.0031882154313911068 0.11189795440441211	-0.0031882154313909537 0.010582352256794877 -0.02183177751045727	-0.11189795440440879 0.021831777510454627 0.04228545622835099
0.04153368387554199 -0.003188214911585052 0.11189795332599659	-0.00318821491157941 0.010582357138131146 -0.021831776126348238	-0.11189795332600046 0.021831776126346427 0.04228546384825549
0.041533681698013775 -0.003188225291406257 0.11189795381312136	-0.003188225291406344 0.010582348835088698 -0.02183177458296503	-0.1118979538131207 0.02183177458296602 0.042285444623958224
0.04153368452183213 -0.003188228278252705 0.11189795208823226	-0.003188228278245917 0.010582355631262861 -0.021831772661748544	-0.11189795208823694 0.02183177266174593 0.042285453424888125
0.041533689790890185 -0.0031882222509028524 0.11189794888301295	-0.0031882222509031916 0.010582373900785026 -0.021831770883080068	-0.11189794888300957 0.021831770883078017 0.04228548450667101
0.04153368785995556 -0.003188222399715529 0.11189794984301012	-0.003188222399711031 0.010582368469178254 -0.02183177189435002	-0.11189794984301459 0.02183177189434992 0.04228547507942961
0.04153368198912316 -0.0031882259291026154 0.11189795400976862	-0.0031882259291065016 0.010582346901262139 -0.021831775448065454	-0.11189795400976346 0.021831775448065454 0.04228544015837543
0.0415336817227632 -0.003188220016950735 0.11189795518687688	-0.003188220016949573 0.010582345846653844 -0.02183177754221635	-0.1118979551868804 0.021831777542213007 0.04228544331847146
0.04153368400143628 -0.0031882135555611722 0.11189795364257797	-0.003188213555565273 0.010582357403739404 -0.021831776674273447	-0.11189795364257095 0.021831776674273416 0.04228546522809551
0.04153368237281036 -0.003188220159216216 0.1118979536008305	-0.0031882201592169763 0.010582353249623207 -0.021831775156549903	-0.11189795360083012 0.02183177515654998 0.04228545445358728
0.04153368226376966 -0.0031882283543905126 0.11189795335263127	-0.0031882283543932166 0.010582348935864058 -0.021831773823060903	-0.11189795335262748 0.021831773823061677 0.042285443022114955
0.04153368587764291 -0.00318821520959154 0.11189795246030854	-0.0031882152095927424 0.010582361665731076 -0.02183177522048168	-0.11189795246031105 0.02183177522048106 0.04228547169203166
0.04153368524653192 -0.0031882244309285167 0.11189795240031737	-0.0031882244309312732 0.01058235583297212 -0.021831773652592222	-0.11189795240031239 0.0218317736525911 0.04228545689104701
0.041533685219540775 -0.003188230226194997 0.11189795150950778	-0.003188230226196344 0.010582356307654873 -0.021831771768200184	-0.11189795150950976 0.02183177176819724 0.04228545251455995
0.04153368898429827 -0.0031882234837013424 0.11189794931964327	-0.0031882234837010094 0.010582371123294717 -0.021831771262342807	-0.11189794931964167 0.02183177126234214 0.04228547849954354
0.04153368765406457 -0.0031882192772933254 0.11189795062251617	-0.0031882192772912845 0.010582367663952118 -0.021831773684896975	-0.11189795062251867 0.02183177368489668 0.04228547582652267
0.041533680364464226 -0.0031882233015803375 0.11189795490113941	-0.0031882233015758142 0.010582344531402306 -0.021831776788939286	-0.11189795490113849 0.02183177678893687 0.042285437909848615
0.04153367872314547 -0.003188221704189197 0.11189795591116201	-0.003188221704188092 0.010582340636255797 -0.021831777391206963	-0.11189795591116294 0.02183177739120354 0.042285433553496975
0.041533684069022796 -0.0031882151298392187 0.11189795336746801	-0.0031882151298334663 0.010582357430628863 -0.02183177588984499	-0.11189795336747303 0.0218317758898467 0.04228546498845667
0.04153368596001705 -0.003188219262711173 0.11189795229196571	-0.0031882192627129984 0.010582360488098545 -0.021831774237055256	-0.11189795229196685 0.02183177423705273 0.04228546779338208
0.04153368434915507 -0.003188229280198106 0.11189795229999122	-0.0031882292801961596 0.010582353677757025 -0.021831772602724175	-0.11189795229999278 0.02183177260272201 0.04228544969084704
0.04153368700933624 -0.0031882275126820375 0.11189795025763774	-0.003188227512686284 0.010582363444573056 -0.021831771339207065	-0.11189795025763496 0.021831771339207245 0.04228546417244076
0.04153368958082371 -0.0031882195636875775 0.11189794926531599	-0.0031882195636864924 0.010582372850183938 -0.021831772293049535	-0.11189794926531672 0.02183177229305225 0.042285483533597054
0.041533684124714976 -0.0031882209757304217 0.11189795275692274	-0.003188220975736786 0.010582356042915254 -0.02183177525818753	-0.11189795275691759 0.021831775258185096 0.042285457393924836
0.04153367808477408 -0.003188224301837006 0.11189795610009737	-0.003188224301837821 0.010582338777503978 -0.02183177716856565	-0.11189795610009864 0.02183177716856435 0.04228542896804664
0.041533680925795964 -0.0031882183004136276 0.11189795478000443	-0.003188218300419393 0.010582348960810136 -0.021831776647595006	-0.11189795478000028 0.021831776647595037 0.04228544904970653
0.041533681151978794 -0.0031882206526229425 0.11189795506547513	-0.003188220652620968 0.010582346729251636 -0.021831777090671314	-0.1118979550654761 0.021831777090673736 0.04228544401661006
0.04153367930241006 -0.0031882225779195604 0.11189795662640518	-0.003188222577922329 0.010582338041084369 -0.02183177816158855	-0.11189795662640657 0.02183177816158566 0.042285431505541274
