0.6328920827527001 -0.010428571722031437 0.056819897680988114	-0.010428571722080577 0.6221764882875774 0.003870836009056758	-0.05681989768093279 -0.003870836008803849 0.7441060130154973
0.6328920827680657 -0.010428571716524353 0.05681989768138225	-0.010428571716571073 0.6221764882940958 0.003870836009323121	-0.056819897681323596 -0.0038708360090739524 0.7441060130170649
0.6328920827787013 -0.010428571712608999 0.056819897681660375	-0.010428571712654423 0.6221764882984625 0.0038708360095126987	-0.05681989768160497 -0.003870836009264106 0.7441060130182335
0.6328920827774458 -0.010428571712988312 0.056819897681645616	-0.010428571713035052 0.6221764882978158 0.003870836009463023	-0.05681989768159082 -0.0038708360092094135 0.7441060130180372
0.6328920827651818 -0.01042857171736837 0.05681989768133931	-0.010428571717417363 0.6221764882925355 0.0038708360092385707	-0.056819897681283496 -0.00387083600898714 0.7441060130167904
0.6328920827502983 -0.010428571722902902 0.056819897680938106	-0.010428571722952744 0.6221764882864971 0.0038708360089741226	-0.05681989768088504 -0.003870836008723122 0.7441060130151876
0.6328920827424116 -0.010428571726145672 0.05681989768074541	-0.010428571726192333 0.6221764882837972 0.00387083600880217	-0.05681989768068829 -0.003870836008553591 0.7441060130144713
0.63289208274685 -0.010428571724623949 0.056819897680873054	-0.010428571724669447 0.6221764882857841 0.003870836008865154	-0.05681989768081459 -0.0038708360086140564 0.7441060130150701
0.6328920827606035 -0.010428571719331446 0.05681989768120978	-0.010428571719379099 0.6221764882910803 0.0038708360091324334	-0.05681989768115741 -0.0038708360088831537 0.7441060130162667
0.6328920827743421 -0.01042857171397948 0.05681989768156407	-0.010428571714028563 0.6221764882963043 0.0038708360094045074	-0.05681989768150886 -0.0038708360091529587 0.7441060130175445
0.6328920827793966 -0.010428571712019222 0.05681989768169412	-0.010428571712067788 0.6221764882982378 0.0038708360095165983	-0.05681989768163788 -0.003870836009261462 0.7441060130181467
0.6328920827722402 -0.010428571714855086 0.05681989768150038	-0.010428571714901648 0.6221764882955914 0.0038708360094014613	-0.056819897681448225 -0.0038708360091550195 0.7441060130175536
0.6328920827575808 -0.010428571720557576 0.05681989768112068	-0.010428571720603838 0.6221764882900596 0.0038708360091151486	-0.05681989768106331 -0.0038708360088659313 0.744106013016096
0.6328920827450953 -0.010428571725164922 0.05681989768079805	-0.010428571725212098 0.6221764882849169 0.0038708360088914526	-0.05681989768073982 -0.0038708360086387866 0.7441060130148658
0.632892082742962 -0.010428571725781186 0.05681989768073397	-0.010428571725830157 0.622176488283771 0.0038708360088702126	-0.05681989768067951 -0.003870836008614917 0.7441060130144714
0.6328920827678413 -0.010428571716437128 0.056819897681380016	-0.0104285717164838 0.6221764882937222 0.0038708360093306637	-0.05681989768132184 -0.0038708360090818905 0.7441060130170066
0.6328920827782875 -0.010428571712476048 0.05681989768164542	-0.010428571712523444 0.6221764882978886 0.003870836009530053	-0.05681989768159328 -0.003870836009281821 0.744106013018033
0.6328920827774741 -0.010428571713055265 0.05681989768163797	-0.010428571713102446 0.6221764882979186 0.003870836009464605	-0.056819897681582104 -0.0038708360092110303 0.7441060130179992
0.6328920827654411 -0.010428571717546811 0.05681989768133735	-0.01042857171759453 0.6221764882930522 0.003870836009230015	-0.056819897681278875 -0.003870836008975989 0.744106013016844
0.6328920827502643 -0.01042857172299201 0.05681989768094485	-0.010428571723039287 0.6221764882865782 0.0038708360089659277	-0.0568198976808927 -0.0038708360087167035 0.7441060130152435
0.6328920827421303 -0.010428571726007214 0.05681989768075268	-0.01042857172605385 0.6221764882832517 0.0038708360088138064	-0.05681989768069578 -0.003870836008565526 0.7441060130145534
0.6328920827465561 -0.010428571724426345 0.05681989768085898	-0.010428571724474374 0.6221764882851828 0.0038708360088929306	-0.0568198976807999 -0.003870836008639904 0.7441060130149854
0.632892082760561 -0.010428571719327177 0.056819897681194616	-0.01042857171937571 0.6221764882910521 0.0038708360091414123	-0.05681989768114267 -0.00387083600889377 0.7441060130161334
0.6328920827746181 -0.010428571714123213 0.05681989768158252	-0.01042857171417146 0.6221764882967661 0.003870836009384482	-0.05681989768152575 -0.0038708360091303656 0.7441060130177457
0.6328920827795219 -0.010428571712150034 0.05681989768170721	-0.010428571712196414 0.6221764882985272 0.0038708360094938873	-0.056819897681651715 -0.0038708360092403263 0.7441060130181871
0.6328920827719965 -0.010428571714794159 0.05681989768148919	-0.01042857171484092 0.6221764882952645 0.0038708360094065683	-0.056819897681436 -0.0038708360091601265 0.7441060130173355
0.632892082757408 -0.010428571720410926 0.05681989768111278	-0.010428571720459502 0.6221764882896638 0.00387083600912793	-0.05681989768105355 -0.003870836008877089 0.7441060130159904
0.6328920827451392 -0.010428571725147391 0.056819897680803096	-0.010428571725195832 0.6221764882849419 0.0038708360088870186	-0.05681989768074742 -0.0038708360086366703 0.7441060130148991
0.6328920827431878 -0.010428571725877744 0.05681989768074451	-0.01042857172592603 0.6221764882841734 0.0038708360088550164	-0.056819897680691185 -0.003870836008599894 0.7441060130145815
0.6328920827529203 -0.010428571722120193 0.05681989768100109	-0.0104285717221674 0.6221764882878805 0.003870836009042561	-0.056819897680942755 -0.003870836008789756 0.7441060130156497
0.6328920827782776 -0.010428571712473755 0.056819897681654824	-0.010428571712519576 0.6221764882978205 0.0038708360095254316	-0.056819897681599486 -0.003870836009276825 0.7441060130181183
0.6328920827771023 -0.010428571712965127 0.05681989768163332	-0.010428571713012494 0.622176488297413 0.003870836009473008	-0.056819897681577844 -0.0038708360092196206 0.7441060130179159
0.6328920827652379 -0.01042857171751366 0.05681989768132531	-0.010428571717562979 0.622176488292845 0.003870836009239341	-0.056819897681270215 -0.003870836008985405 0.744106013016719
0.6328920827505662 -0.010428571723132028 0.05681989768093908	-0.010428571723179871 0.6221764882870682 0.0038708360089616603	-0.056819897680886605 -0.0038708360087127344 0.7441060130152626
0.6328920827423494 -0.010428571726140338 0.05681989768075156	-0.010428571726186067 0.6221764882836699 0.0038708360088075752	-0.056819897680691636 -0.0038708360085567967 0.7441060130146028
0.6328920827463278 -0.010428571724430315 0.05681989768086225	-0.010428571724476457 0.6221764882849401 0.003870836008893118	-0.0568198976808038 -0.0038708360086422908 0.7441060130149795
0.6328920827601943 -0.010428571719181344 0.056819897681200576	-0.010428571719229738 0.6221764882904315 0.0038708360091540828	-0.05681989768114867 -0.0038708360089065794 0.744106013016203
0.6328920827744495 -0.010428571714001699 0.056819897681568976	-0.010428571714051862 0.622176488296436 0.0038708360094059993	-0.05681989768151188 -0.003870836009150079 0.7441060130176989
0.6328920827797733 -0.01042857171220789 0.05681989768169432	-0.010428571712255275 0.6221764882988776 0.0038708360094977315	-0.05681989768164018 -0.0038708360092463007 0.7441060130181083
0.6328920827722743 -0.01042857171488353 0.05681989768150837	-0.010428571714929362 0.6221764882956363 0.0038708360093890892	-0.05681989768145463 -0.0038708360091407254 0.7441060130175243
0.6328920827572528 -0.01042857172043507 0.056819897681122264	-0.010428571720481554 0.6221764882895167 0.0038708360091153984	-0.056819897681064505 -0.0038708360088659174 0.7441060130159585
0.6328920827448217 -0.010428571725070382 0.05681989768079002	-0.010428571725118945 0.6221764882845132 0.0038708360088937216	-0.05681989768073423 -0.00387083600864304 0.7441060130146647
0.6328920827431652 -0.010428571725809684 0.05681989768073925	-0.010428571725859512 0.6221764882840541 0.0038708360088617333	-0.056819897680684045 -0.0038708360086046056 0.7441060130145326
0.6328920827531657 -0.010428571722165953 0.05681989768100722	-0.01042857172221401 0.6221764882882014 0.0038708360090333738	-0.05681989768095179 -0.003870836008783428 0.7441060130157076
0.6328920827681012 -0.010428571716493976 0.056819897681391805	-0.010428571716540411 0.622176488294084 0.00387083600931757	-0.05681989768133433 -0.0038708360090685748 0.7441060130171264
0.6328920827771212 -0.010428571712935307 0.056819897681641765	-0.010428571712982195 0.6221764882974106 0.003870836009468921	-0.05681989768158701 -0.0038708360092151034 0.7441060130179704
0.6328920827650025 -0.010428571717458333 0.056819897681332325	-0.01042857171750609 0.622176488292502 0.0038708360092386054	-0.05681989768127389 -0.0038708360089844754 0.7441060130167609
0.6328920827504123 -0.010428571723078461 0.05681989768093679	-0.010428571723126247 0.6221764882868508 0.003870836008967135	-0.05681989768088385 -0.0038708360087178 0.7441060130152246
0.6328920827426008 -0.010428571726163178 0.05681989768074533	-0.01042857172621058 0.6221764882840146 0.003870836008810323	-0.05681989768068792 -0.0038708360085594334 0.7441060130145706
0.6328920827468345 -0.01042857172454536 0.05681989768085973	-0.010428571724592061 0.6221764882856211 0.0038708360088884966	-0.056819897680801326 -0.0038708360086381344 0.7441060130150416
0.6328920827603514 -0.010428571719227429 0.05681989768119812	-0.010428571719274672 0.6221764882906706 0.003870836009155422	-0.05681989768114351 -0.003870836008905622 0.7441060130162274
0.6328920827741581 -0.010428571713950188 0.05681989768157164	-0.010428571713998459 0.6221764882960747 0.003870836009409233	-0.056819897681515304 -0.003870836009155637 0.744106013017685
