0.16671114415890342 -0.0010705896705618658 0.1060248703063876	-0.0010705896705147646 0.14664589775968093 -0.008752004289942501	-0.10602487030620325 0.008752004289728534 0.3480179512641668
0.1667111442057998 -0.001070589651761959 0.10602487022267112	-0.0010705896517116302 0.14664589752488705 -0.008752004142502035	-0.10602487022249918 0.0087520041422837 0.3480179513820351
0.1667111442267205 -0.001070589642644242 0.10602487018527777	-0.0010705896425980462 0.14664589742161882 -0.008752004077873562	-0.10602487018507983 0.008752004077669767 0.3480179514345237
0.16671114415948693 -0.0010705896701313057 0.10602487030568543	-0.0010705896700809736 0.14664589775974396 -0.008752004289859002	-0.10602487030552481 0.008752004289630272 0.3480179512638995
0.16671114420616157 -0.0010705896509103875 0.10602487022215512	-0.0010705896508620841 0.1466458975267784 -0.00875200414356727	-0.10602487022195196 0.008752004143366722 0.3480179513815076
0.1667111442274967 -0.0010705896430659601 0.10602487018513673	-0.0010705896430167495 0.14664589742320153 -0.008752004077731308	-0.1060248701849744 0.008752004077506984 0.3480179514350935
0.16671114415994354 -0.0010705896710023694 0.1060248703061187	-0.0010705896709539819 0.14664589776072334 -0.008752004289457587	-0.10602487030592929 0.008752004289247786 0.348017951264995
0.16671114420522826 -0.0010705896504141646 0.10602487022265872	-0.0010705896503649635 0.1466458975260651 -0.008752004144238976	-0.10602487022246966 0.00875200414402797 0.34801795138127545
0.16671114422581793 -0.0010705896423934252 0.106024870185559	-0.0010705896423441061 0.14664589742069453 -0.008752004078354404	-0.10602487018539179 0.008752004078132033 0.3480179514333199
0.16671114415973187 -0.0010705896716292984 0.10602487030624164	-0.0010705896715809578 0.146645897758852 -0.008752004288438635	-0.1060248703060379 0.008752004288236897 0.3480179512651233
0.1667111442060852 -0.0010705896509456692 0.10602487022234092	-0.001070589650894323 0.14664589752645157 -0.008752004143428162	-0.10602487022218278 0.008752004143201157 0.34801795138193925
0.16671114422651157 -0.0010705896416802812 0.10602487018481194	-0.0010705896416339563 0.14664589742241593 -0.008752004078824017	-0.10602487018462012 0.008752004078617148 0.3480179514333425
0.16671114416038751 -0.0010705896711808273 0.1060248703058402	-0.0010705896711310997 0.14664589776078057 -0.00875200428906315	-0.10602487030566186 0.008752004288847273 0.34801795126528373
0.1667111442066368 -0.0010705896516171763 0.10602487022238484	-0.001070589651567159 0.14664589752676294 -0.00875200414295476	-0.10602487022220365 0.008752004142739411 0.3480179513826211
0.16671114422613045 -0.0010705896418976317 0.10602487018536881	-0.0010705896418493864 0.14664589742245396 -0.008752004079106528	-0.10602487018519031 0.008752004078892317 0.3480179514335815
0.16671114422645822 -0.0010705896418121879 0.10602487018509248	-0.0010705896417614472 0.14664589742248055 -0.008752004078910119	-0.10602487018492032 0.008752004078691377 0.3480179514335679
0.16671114415952173 -0.0010705896716855937 0.1060248703063596	-0.0010705896716399254 0.1466458977598369 -0.008752004288890027	-0.10602487030615995 0.00875200428868856 0.3480179512649491
0.1667111442060013 -0.0010705896515809839 0.1060248702229557	-0.001070589651529735 0.1466458975269917 -0.00875200414345565	-0.10602487022280013 0.008752004143225946 0.34801795138262853
0.16671114422607203 -0.0010705896416284095 0.10602487018557448	-0.0010705896415796924 0.14664589742270037 -0.008752004079452778	-0.10602487018536566 0.008752004079253854 0.3480179514337815
0.1667111441590418 -0.0010705896706173475 0.10602487030606232	-0.0010705896705693677 0.1466458977587089 -0.008752004289472523	-0.10602487030589744 0.008752004289248355 0.34801795126353496
0.16671114420628141 -0.0010705896518443973 0.10602487022220496	-0.0010705896517952326 0.1466458975250847 -0.008752004142124157	-0.10602487022201472 0.008752004141915945 0.34801795138205427
0.16671114422729263 -0.0010705896423033748 0.10602487018469868	-0.001070589642253943 0.14664589742230297 -0.008752004077853842	-0.10602487018451506 0.008752004077641633 0.3480179514344073
0.16671114415994925 -0.0010705896701149126 0.10602487030567631	-0.0010705896700652267 0.1466458977610881 -0.008752004290052066	-0.10602487030550939 0.008752004289830091 0.34801795126477586
0.16671114420580702 -0.0010705896513692591 0.1060248702226038	-0.001070589651321438 0.14664589752648302 -0.008752004143467464	-0.1060248702224015 0.008752004143264741 0.3480179513819297
0.16671114422647199 -0.0010705896431178535 0.1060248701856208	-0.0010705896430664545 0.14664589742161552 -0.008752004077929233	-0.10602487018545745 0.008752004077703567 0.34801795143427694
0.1667111441594695 -0.001070589670621013 0.10602487030657681	-0.0010705896705743454 0.14664589776076434 -0.008752004290151202	-0.10602487030638547 0.008752004289943119 0.34801795126479396
0.1667111442053035 -0.0010705896504441415 0.10602487022257118	-0.0010705896503927686 0.1466458975258188 -0.008752004143989352	-0.10602487022239478 0.00875200414377397 0.3480179513809137
0.16671114422644928 -0.0010705896427937872 0.10602487018514554	-0.0010705896427445575 0.14664589742109535 -0.008752004077653003	-0.10602487018497071 0.008752004077434629 0.3480179514337249
0.16671114416042243 -0.00107058967146939 0.10602487030562574	-0.001070589671421031 0.14664589775968392 -0.008752004288313676	-0.10602487030544316 0.00875200428810001 0.34801795126555646
0.16671114420645872 -0.001070589650446721 0.10602487022192791	-0.001070589650396656 0.146645897526706 -0.008752004143725504	-0.10602487022174673 0.008752004143509538 0.34801795138183905
0.1667111442060108 -0.0010705896504790788 0.10602487022210934	-0.001070589650432734 0.14664589752661372 -0.008752004143875131	-0.10602487022191151 0.008752004143671503 0.3480179513814342
0.16671114422656516 -0.0010705896429668545 0.10602487018481956	-0.001070589642914157 0.14664589742062897 -0.00875200407729278	-0.1060248701846646 0.00875200407706344 0.3480179514333338
0.1667111441601275 -0.0010705896713111961 0.10602487030569835	-0.0010705896712627297 0.1466458977595244 -0.008752004288479956	-0.10602487030548785 0.008752004288284113 0.34801795126525703
0.16671114420623354 -0.001070589650406347 0.10602487022252194	-0.0010705896503565597 0.1466458975276843 -0.008752004144294896	-0.1060248702223632 0.008752004144068296 0.3480179513825844
0.16671114422597189 -0.001070589642219952 0.10602487018561207	-0.0010705896421699668 0.14664589742197717 -0.008752004078812561	-0.10602487018541697 0.008752004078606247 0.34801795143395375
0.16671114415915933 -0.0010705896717806956 0.10602487030668432	-0.0010705896717315474 0.1466458977593355 -0.008752004288927182	-0.10602487030649843 0.008752004288714307 0.34801795126473684
0.16671114420592212 -0.0010705896510706603 0.10602487022265317	-0.0010705896510214367 0.14664589752643525 -0.008752004143581113	-0.10602487022248486 0.008752004143359637 0.3480179513816569
0.16671114422666328 -0.001070589641399675 0.10602487018487977	-0.0010705896413517229 0.1466458974226102 -0.00875200407901526	-0.10602487018468297 0.008752004078811125 0.34801795143332065
0.16671114415990318 -0.0010705896710652488 0.10602487030562922	-0.0010705896710132617 0.1466458977596488 -0.008752004288837774	-0.10602487030546517 0.008752004288613634 0.348017951264453
0.16671114420640487 -0.0010705896519760255 0.10602487022206714	-0.001070589651930508 0.14664589752525065 -0.008752004142131967	-0.10602487022187589 0.00875200414192331 0.3480179513822244
0.16671114422696343 -0.0010705896419775946 0.10602487018518789	-0.0010705896419270283 0.14664589742290646 -0.008752004078788754	-0.10602487018500778 0.008752004078573891 0.34801795143460573
0.16671114415931676 -0.001070589670145939 0.10602487030628942	-0.0010705896700967752 0.14664589776041467 -0.008752004290343694	-0.10602487030611364 0.008752004290125081 0.3480179512644862
0.16671114420519487 -0.0010705896517523078 0.10602487022293154	-0.0010705896517035386 0.14664589752514537 -0.008752004143022307	-0.10602487022274892 0.008752004142811121 0.3480179513814425
0.16671114422652505 -0.0010705896430617812 0.1060248701856067	-0.0010705896430131838 0.14664589742191303 -0.008752004077832685	-0.10602487018543184 0.00875200407761386 0.3480179514344076
0.16671114415996843 -0.0010705896702033132 0.10602487030602138	-0.0010705896701525275 0.14664589776125614 -0.008752004290159727	-0.10602487030584315 0.008752004289942675 0.34801795126468554
0.16671114415968313 -0.0010705896703782705 0.10602487030625124	-0.0010705896703282211 0.14664589776093473 -0.008752004290189644	-0.10602487030609078 0.008752004289961545 0.34801795126521895
0.16671114420589667 -0.0010705896519364365 0.10602487022260555	-0.0010705896518889832 0.14664589752572557 -0.00875200414278779	-0.10602487022239591 0.008752004142589163 0.3480179513818442
0.16671114422666378 -0.0010705896426635633 0.10602487018489869	-0.0010705896426144706 0.14664589742128414 -0.008752004077733345	-0.10602487018474066 0.008752004077506002 0.3480179514332199
0.16671114416015725 -0.0010705896699676615 0.10602487030561661	-0.0010705896699194362 0.14664589776142967 -0.008752004290103067	-0.10602487030541832 0.00875200428989931 0.3480179512646461
0.16671114420605435 -0.0010705896507809242 0.10602487022214895	-0.00107058965073154 0.14664589752628454 -0.008752004143464193	-0.10602487022196756 0.008752004143250322 0.3480179513816838
0.16671114422622335 -0.0010705896432707043 0.1060248701854835	-0.0010705896432205535 0.14664589742090145 -0.008752004077543472	-0.10602487018530977 0.008752004077324897 0.34801795143403713
0.16671114415956612 -0.0010705896711326896 0.1060248703064857	-0.0010705896710852692 0.14664589776004477 -0.008752004289420572	-0.10602487030628598 0.008752004289214993 0.3480179512653934
0.16671114420582953 -0.001070589650308611 0.1060248702226524	-0.0010705896502568122 0.14664589752678672 -0.008752004144399885	-0.10602487022248808 0.008752004144176876 0.3480179513818725
0.16671114422642708 -0.0010705896424432482 0.10602487018528119	-0.0010705896423964106 0.14664589742162346 -0.008752004078135082	-0.10602487018509288 0.008752004077925375 0.34801795143395475
0.16671114415970967 -0.0010705896717190374 0.10602487030591946	-0.0010705896716679533 0.14664589775900894 -0.008752004288292824	-0.1060248703057373 0.008752004288079335 0.34801795126439916
0.16671114420640826 -0.0010705896507590754 0.10602487022211705	-0.0010705896507099489 0.14664589752714788 -0.00875200414373866	-0.10602487022194247 0.008752004143518337 0.34801795138175556
0.16671114422693456 -0.0010705896415004832 0.10602487018496516	-0.0010705896414525094 0.14664589742364437 -0.008752004079400001	-0.10602487018477885 0.008752004079189031 0.34801795143399733
0.16671114415953087 -0.0010705896713552841 0.10602487030602993	-0.0010705896713068888 0.14664589775886702 -0.008752004288793878	-0.10602487030585406 0.008752004288574814 0.3480179512642314
0.16671114420563454 -0.0010705896518998677 0.1060248702227043	-0.0010705896518489804 0.14664589752471244 -0.008752004142371414	-0.10602487022252749 0.008752004142155722 0.3480179513819795
0.1667111442263629 -0.0010705896417935188 0.1060248701854988	-0.0010705896417468382 0.14664589742257428 -0.008752004079012103	-0.10602487018530675 0.00875200407880531 0.34801795143439307
0.16671114422649758 -0.0010705896417164268 0.106024870185387	-0.0010705896416683793 0.1466458974226303 -0.008752004079054125	-0.1060248701851829 0.00875200407885375 0.34801795143395126
0.16671114415949975 -0.0010705896716960142 0.10602487030663882	-0.0010705896716474107 0.14664589775960502 -0.008752004288928153	-0.10602487030647448 0.008752004288703354 0.34801795126531415
0.16671114420546906 -0.0010705896517305535 0.10602487022276381	-0.0010705896516822406 0.1466458975251969 -0.008752004142869606	-0.10602487022256923 0.008752004142662154 0.34801795138199504
