0.27483413312107857 -0.015641717705835504 0.09971726070739469	-0.015641717705756238 0.26196274587282653 0.0129387368209688	-0.0997172607090414 -0.012938736820284378 0.47257409263993566
0.27483413312115346 -0.015641717705741635 0.09971726070749125	-0.015641717705670615 0.2619627458730842 0.012938736821310082	-0.09971726070916176 -0.01293873682060738 0.47257409263984146
0.2748341331211462 -0.015641717705827226 0.09971726070734899	-0.01564171770575574 0.2619627458728879 0.012938736820909805	-0.0997172607090164 -0.012938736820215367 0.47257409264012135
0.2748341331211097 -0.015641717705763794 0.09971726070753412	-0.015641717705689014 0.26196274587285995 0.012938736821315779	-0.09971726070918734 -0.012938736820631014 0.4725740926398014
0.27483413312120886 -0.015641717705816797 0.09971726070746532	-0.01564171770574403 0.2619627458728203 0.012938736821157808	-0.09971726070913614 -0.01293873682044681 0.4725740926399567
0.27483413312111515 -0.015641717705761362 0.0997172607073855	-0.015641717705686238 0.2619627458728778 0.012938736820921157	-0.09971726070903321 -0.012938736820234394 0.4725740926401499
0.27483413312111005 -0.015641717705753636 0.09971726070755985	-0.015641717705678827 0.26196274587297635 0.012938736821390448	-0.09971726070922991 -0.012938736820688516 0.4725740926397387
0.274834133121147 -0.01564171770583459 0.09971726070735949	-0.015641717705755995 0.26196274587291496 0.012938736820938511	-0.09971726070902075 -0.012938736820231042 0.47257409264019523
0.27483413312107496 -0.015641717705749167 0.09971726070744796	-0.01564171770567337 0.26196274587301616 0.012938736821218044	-0.09971726070910017 -0.012938736820527607 0.4725740926398973
0.2748341331210775 -0.015641717705812477 0.09971726070742629	-0.01564171770574132 0.2619627458729753 0.01293873682113754	-0.09971726070910468 -0.012938736820430011 0.47257409263993744
0.2748341331210894 -0.015641717705800473 0.09971726070738446	-0.015641717705718917 0.2619627458729855 0.012938736821008025	-0.09971726070903297 -0.012938736820314135 0.4725740926403197
0.27483413312115923 -0.015641717705836045 0.09971726070753394	-0.01564171770576114 0.2619627458728979 0.012938736821442198	-0.09971726070919798 -0.012938736820739226 0.472574092639657
