0.11806169113081455 -0.012052428362981107 0.10469281779901138	-0.01205242836289588 0.0992044817741145 -0.0199346595699814	-0.10469281779824027 0.019934659569892144 0.28820166986852447
0.11806169112511906 -0.012052428363830029 0.10469281779538323	-0.012052428363743225 0.09920448177191613 -0.019934659580127502	-0.10469281779460397 0.019934659580039083 0.2882016698332842
0.11806169111601476 -0.012052428365394953 0.1046928177895744	-0.01205242836530641 0.09920448176923165 -0.019934659596932594	-0.10469281778879243 0.019934659596841164 0.28820166977838063
0.11806169110520776 -0.01205242836743709 0.10469281778251757	-0.012052428367351002 0.0992044817663924 -0.01993465961779286	-0.10469281778174058 0.01993465961770305 0.28820166971233196
0.11806169109413785 -0.01205242836932619 0.10469281777574367	-0.012052428369241143 0.09920448176339332 -0.01993465963875963	-0.10469281777496138 0.01993465963867143 0.2882016696469598
0.11806169108473921 -0.012052428370668763 0.10469281777038668	-0.01205242837058125 0.09920448176030601 -0.01993465965538228	-0.10469281776961886 0.0199346596552912 0.2882016695936229
0.11806169107974901 -0.012052428371216723 0.10469281776713615	-0.012052428371133194 0.09920448175885783 -0.019934659664160345	-0.10469281776636111 0.019934659664068162 0.2882016695640538
0.11806169107980843 -0.012052428371109095 0.10469281776667039	-0.012052428371023948 0.09920448175963642 -0.019934659664213893	-0.10469281776589344 0.019934659664124447 0.28820166956348964
0.11806169108365001 -0.012052428370249387 0.10469281776930507	-0.012052428370156878 0.09920448176059299 -0.019934659656568793	-0.10469281776853445 0.019934659656472533 0.28820166958788934
0.11806169109092772 -0.01205242836872567 0.10469281777446156	-0.012052428368639895 0.09920448176229868 -0.0199346596424743	-0.10469281777367843 0.01993465964238581 0.2882016696343322
0.11806169110101089 -0.01205242836708529 0.10469281778085135	-0.0120524283669968 0.09920448176544358 -0.019934659623945528	-0.10469281778007797 0.019934659623858642 0.2882016696948276
0.11806169111184246 -0.012052428365570684 0.10469281778751664	-0.012052428365486634 0.09920448176911055 -0.019934659604124615	-0.10469281778674028 0.019934659604034982 0.2882016697584009
0.11806169112127061 -0.01205242836411928 0.10469281779361382	-0.012052428364033366 0.09920448177190569 -0.019934659586178804	-0.10469281779282973 0.01993465958609278 0.28820166981471557
0.1180616911281394 -0.012052428362968158 0.10469281779801232	-0.012052428362883788 0.0992044817732842 -0.019934659573161487	-0.10469281779723143 0.019934659573071133 0.2882016698550501
0.11806169113172207 -0.012052428362592328 0.10469281779994273	-0.01205242836250575 0.09920448177431024 -0.019934659567529087	-0.10469281779916262 0.019934659567441816 0.2882016698754565
0.1180616911247104 -0.012052428363504022 0.10469281779454548	-0.012052428363415102 0.0992044817743937 -0.019934659580727487	-0.10469281779376949 0.019934659580634943 0.2882016698352836
0.11806169111557482 -0.012052428365084383 0.10469281778899815	-0.012052428364994245 0.09920448177052907 -0.01993465959759258	-0.10469281778822523 0.01993465959750203 0.2882016697789603
0.1180616911044759 -0.012052428366998862 0.104692817782344	-0.01205242836691351 0.0992044817660892 -0.01993465961763522	-0.1046928177815637 0.019934659617541834 0.28820166971166183
0.1180616910939797 -0.012052428369160395 0.10469281777565805	-0.01205242836907315 0.09920448176265033 -0.019934659637853805	-0.1046928177748791 0.01993465963776451 0.28820166964602795
0.11806169108563397 -0.012052428370978164 0.10469281777060548	-0.012052428370893105 0.09920448176012035 -0.019934659654573337	-0.10469281776982654 0.019934659654483274 0.28820166959422183
0.11806169108036398 -0.012052428371728704 0.10469281776812005	-0.012052428371645583 0.0992044817574285 -0.01993465966434155	-0.1046928177673451 0.01993465966425164 0.28820166956399024
0.1180616910800023 -0.012052428371516008 0.10469281776815512	-0.012052428371427303 0.0992044817567556 -0.019934659665055858	-0.10469281776738042 0.019934659664966645 0.288201669562083
0.11806169108460132 -0.012052428370827067 0.10469281777053682	-0.012052428370739535 0.09920448175918167 -0.019934659656937838	-0.10469281776976386 0.019934659656846414 0.28820166958870463
0.11806169109224521 -0.012052428369445768 0.10469281777516735	-0.012052428369357816 0.0992044817618373 -0.019934659642171136	-0.10469281777438802 0.01993465964207951 0.2882016696349966
0.11806169110157716 -0.012052428367437942 0.10469281778139111	-0.012052428367350439 0.09920448176443805 -0.019934659623484112	-0.10469281778061092 0.01993465962339408 0.2882016696943161
0.11806169111160796 -0.012052428365466973 0.10469281778775812	-0.012052428365376166 0.09920448176784791 -0.019934659603851435	-0.10469281778698214 0.019934659603756982 0.2882016697577226
0.11806169112112058 -0.012052428364061592 0.10469281779323712	-0.012052428363977435 0.09920448177206864 -0.019934659586291245	-0.10469281779245194 0.01993465958620659 0.28820166981527595
0.11806169112797846 -0.012052428362921627 0.10469281779728326	-0.012052428362837635 0.09920448177496899 -0.01993465957320309	-0.10469281779650236 0.019934659573116003 0.2882016698567408
0.11806169113094533 -0.012052428362027901 0.10469281779910325	-0.01205242836194285 0.09920448177549207 -0.019934659566981455	-0.10469281779832781 0.01993465956689413 0.28820166987435825
0.11806169112998188 -0.012052428362260205 0.10469281779815835	-0.012052428362175556 0.0992044817757018 -0.01993465956966783	-0.10469281779737193 0.01993465956957997 0.28820166986809725
0.11806169111549153 -0.012052428365100428 0.10469281778904373	-0.01205242836501572 0.0992044817714047 -0.019934659597976356	-0.1046928177882609 0.019934659597886345 0.2882016697798213
0.11806169110403576 -0.012052428366870052 0.10469281778248053	-0.012052428366784926 0.09920448176709598 -0.019934659619032152	-0.10469281778170055 0.019934659618936337 0.2882016697119597
0.11806169109261458 -0.012052428368405144 0.104692817776022	-0.012052428368317696 0.09920448176239793 -0.019934659639045782	-0.10469281777525197 0.01993465963895301 0.288201669645091
0.11806169108407674 -0.012052428370041536 0.10469281777051685	-0.012052428369955783 0.0992044817598306 -0.019934659654961214	-0.10469281776974056 0.019934659654869572 0.28820166959250026
