0.0636001550617429 -0.009993118727834111 0.11463089662813215	-0.009993118727756241 0.003520170577643141 -0.01565389072969227	-0.11463089662634507 0.015653890723154644 0.1314746731532197
0.06360015508943201 -0.009993118732562919 0.1146308966177476	-0.009993118732483841 0.0035201705959370215 -0.01565389073589807	-0.11463089661595577 0.01565389072936272 0.13147467317533137
0.06360015509613272 -0.009993118746363388 0.11463089664507321	-0.009993118746284117 0.003520170611220943 -0.015653890750394	-0.11463089664327936 0.01565389074385676 0.1314746731787283
0.06360015506062962 -0.009993118747298978 0.11463089667901062	-0.009993118747220297 0.0035201705829093887 -0.015653890740073537	-0.1146308966772228 0.01565389073353369 0.13147467313822223
0.06360015505471131 -0.0099931187411396 0.11463089667125123	-0.009993118741062925 0.0035201705667060783 -0.01565389072680884	-0.11463089666946352 0.015653890720273334 0.13147467312611438
0.0636001550860082 -0.009993118747217066 0.1146308966584162	-0.009993118747137505 0.003520170593170736 -0.015653890739213874	-0.11463089665662343 0.01565389073267692 0.1314746731562308
0.06360015508338789 -0.009993118754513489 0.11463089667742829	-0.009993118754435154 0.0035201706013855034 -0.015653890749689887	-0.11463089667564202 0.015653890743154972 0.1314746731562819
0.06360015505400868 -0.009993118745551545 0.11463089668273344	-0.009993118745475534 0.00352017057394449 -0.015653890735405296	-0.114630896680945 0.015653890728869205 0.13147467312856245
0.06360015506654358 -0.009993118735480583 0.11463089664757393	-0.009993118735402422 0.003520170575165884 -0.015653890728689803	-0.11463089664578109 0.01565389072215593 0.13147467314404648
0.06360015509862722 -0.009993118739520865 0.11463089662566267	-0.009993118739442156 0.0035201706078175216 -0.01565389074545771	-0.11463089662387478 0.015653890738923905 0.131474673182928
0.06360015508534245 -0.009993118740419936 0.11463089663663835	-0.009993118740339061 0.0035201706061638305 -0.01565389074981447	-0.1146308966348521 0.015653890743274827 0.13147467317614978
0.06360015506245914 -0.009993118727899278 0.11463089662766768	-0.0099931187278195 0.003520170580822362 -0.015653890733268488	-0.11463089662587732 0.01565389072673319 0.13147467315652886
0.06360015508632369 -0.009993118722659601 0.11463089659496281	-0.009993118722580373 0.0035201705937376697 -0.0156538907332816	-0.1146308965931771 0.015653890726740536 0.1314746731823632
0.06360015510780131 -0.00999311873207399 0.11463089659638082	-0.009993118731995144 0.0035201706199989033 -0.015653890750291416	-0.11463089659459172 0.015653890743755033 0.13147467320555492
0.06360015507971717 -0.009993118734795178 0.11463089662629927	-0.009993118734717277 0.0035201706025138426 -0.015653890746607453	-0.11463089662450694 0.015653890740073426 0.13147467317642061
0.06360015507075177 -0.009993118751726515 0.11463089667381327	-0.009993118751651108 0.0035201705845993685 -0.015653890737494156	-0.11463089667202114 0.01565389073096193 0.13147467314221012
0.06360015506507444 -0.009993118730176878 0.1146308966556158	-0.009993118730097068 0.0035201705697042868 -0.015653890725618496	-0.1146308966538254 0.015653890719082582 0.1314746731374471
0.063600155072912 -0.009993118747195539 0.1146308966759218	-0.009993118747119322 0.0035201705893825267 -0.015653890742254872	-0.11463089667413179 0.015653890735720738 0.13147467314599257
0.06360015507723253 -0.009993118764438924 0.11463089668657764	-0.009993118764360254 0.0035201706008379 -0.015653890750582912	-0.11463089668478474 0.0156538907440454 0.13147467315045824
0.06360015507143665 -0.009993118739737824 0.1146308966490976	-0.009993118739659357 0.003520170581980713 -0.015653890732612263	-0.11463089664730607 0.015653890726076668 0.13147467314930153
0.0636001550736281 -0.009993118720826701 0.11463089662239585	-0.009993118720747651 0.0035201705801344444 -0.01565389072877337	-0.11463089662060759 0.015653890722234498 0.13147467315965375
0.06360015508595976 -0.009993118741002003 0.11463089663654506	-0.009993118740924414 0.003520170606609499 -0.01565389074862391	-0.1146308966347548 0.01565389074208749 0.13147467317708758
0.06360015508834593 -0.009993118747139547 0.11463089663154555	-0.009993118747061701 0.0035201706100356518 -0.015653890749443143	-0.11463089662975946 0.015653890742906004 0.13147467318131584
0.06360015508072918 -0.009993118718824814 0.11463089659506012	-0.00999311871874985 0.003520170588326677 -0.015653890730287105	-0.11463089659327524 0.015653890723749446 0.13147467317739225
0.0636001550825191 -0.009993118714492743 0.11463089659348114	-0.009993118714417337 0.0035201705923540976 -0.01565389073409946	-0.11463089659169476 0.01565389072756234 0.1314746731820299
0.06360015509026057 -0.009993118742906005 0.11463089662762162	-0.009993118742826903 0.0035201706134585856 -0.015653890752646848	-0.11463089662583413 0.015653890746112585 0.13147467318611528
0.06360015508491683 -0.009993118743804779 0.11463089663140143	-0.009993118743727056 0.003520170602775558 -0.015653890744689404	-0.11463089662961239 0.01565389073814926 0.13147467317506192
0.06360015507407595 -0.009993118720705645 0.11463089661629355	-0.00999311872063172 0.003520170579357093 -0.015653890727289264	-0.11463089661450636 0.015653890720755265 0.13147467316147965
0.06360015507547027 -0.009993118732354811 0.11463089664256253	-0.009993118732276646 0.003520170588439009 -0.015653890738102954	-0.11463089664077199 0.015653890731565496 0.13147467315850836
0.06360015507901028 -0.009993118761605909 0.11463089668159608	-0.009993118761528752 0.003520170602818933 -0.015653890752227725	-0.11463089667980705 0.015653890745691804 0.13147467315454375
0.06360015509253102 -0.00999311874907656 0.1146308966538811	-0.009993118748998041 0.0035201706084076333 -0.01565389075076915	-0.11463089665209039 0.015653890744234702 0.13147467317244474
0.06360015508937802 -0.009993118729796538 0.1146308966256937	-0.00999311872971912 0.003520170599320781 -0.01565389074151442	-0.11463089662390365 0.0156538907349804 0.13147467317665112
