-0.07040247987200086 0.00007846393661547785 -0.020621588355115964	0.00007846393661665573 -0.08707817954581976 -0.09460415118667281	0.02062158835511336 0.09460415118667097 -0.18234030692982617
-0.07223542681634519 -0.0007493789869652346 -0.02202036222693661	-0.0007493789869653694 -0.0870798504161519 -0.09389239717259451	0.02202036222693315 0.09389239717258718 -0.1819657424462388
-0.07327122050009635 -0.001460452790237256 -0.021704406418067423	-0.0014604527902353395 -0.0891688593801376 -0.09302847446646212	0.0217044064180651 0.0930284744664585 -0.1832118154860399
-0.07564995718292604 -0.002848683467836602 -0.02293102453466305	-0.002848683467837329 -0.0873272621401161 -0.09255022543714861	0.022931024534657292 0.09255022543714636 -0.18221230214002723
-0.06746707288460518 -0.001994816316226956 -0.02271281283592092	-0.001994816316224797 -0.08356595640144576 -0.09323188052592324	0.02271281283591904 0.09323188052592164 -0.17734774993421565
-0.07273709458408781 -0.0013214517001898518 -0.02278441941042558	-0.0013214517001946527 -0.08640319290342752 -0.09293065500629259	0.02278441941042517 0.09293065500629279 -0.1839405347836276
-0.07028148842746662 -0.0009068003723404564 -0.02198480225604198	-0.0009068003723411138 -0.08495914441294439 -0.09296066076717809	0.021984802256035017 0.09296066076717692 -0.18094122090323284
-0.07172423254652949 -0.0003598087913601524 -0.021463187488669405	-0.00035980879136101457 -0.08825619338110946 -0.09319334162230958	0.02146318748867058 0.09319334162230616 -0.18222381398689402
-0.07189128985905593 0.00015050944334543074 -0.022066440408946626	0.00015050944334412363 -0.08691302913230485 -0.09369798675301921	0.022066440408944198 0.09369798675301812 -0.17943938574218732
-0.07394681888732457 -0.0004515355549941846 -0.021880268186386297	-0.000451535554995091 -0.08596488589535105 -0.09345386933571685	0.02188026818638505 0.09345386933571288 -0.1822337879173518
-0.06921884766548372 -0.0015248999329319046 -0.02228683747370009	-0.0015248999329286043 -0.08638385730818834 -0.09425299625265264	0.022286837473695295 0.09425299625265116 -0.1759495941784526
-0.07725854320752998 -0.0028343143173044662 -0.023469925629949547	-0.002834314317306428 -0.0892197254701669 -0.0930663796120581	0.0234699256299431 0.09306637961205551 -0.1831507278114744
-0.06931342905380913 -0.003022864758006078 -0.02308213316254514	-0.003022864758004713 -0.08711889863920597 -0.0927545035294083	0.02308213316254531 0.09275450352940351 -0.17930071635465733
-0.07231806145941527 -0.001426395102549035 -0.02248757561213146	-0.001426395102545761 -0.08760830115507198 -0.0931308971168664	0.02248757561212739 0.09313089711685851 -0.18215871638028927
-0.06572969870528471 0.0005211004462694333 -0.021902548864480294	0.0005211004462666894 -0.08523339300860484 -0.093545691795098	0.021902548864481123 0.09354569179509661 -0.17996048967262174
-0.08177043376288973 -0.0018401227067772396 -0.022554158679958823	-0.0018401227067727727 -0.09121412685042216 -0.09251222731362135	0.02255415867995378 0.09251222731362112 -0.18764810760109296
-0.07776805221173691 -0.001352036721626901 -0.02305894558731483	-0.0013520367216241901 -0.08790558319746072 -0.09343491374691729	0.023058945587310625 0.09343491374691493 -0.18452059188830866
-0.07955315880531647 -0.0005753041558891627 -0.021242269757867967	-0.0005753041558848792 -0.09097781222869465 -0.09334475463396352	0.02124226975786577 0.09334475463396313 -0.187403436853047
-0.07613052953349399 -0.0017403283872195778 -0.022009083700535493	-0.001740328387216826 -0.08740887552614857 -0.09275702521950561	0.022009083700528315 0.0927570252195037 -0.18377043431101647
-0.07076792357029531 -0.0017994661979180147 -0.02291335989437044	-0.001799466197915116 -0.08676283099716366 -0.09256772669527716	0.02291335989436683 0.09256772669527492 -0.17997483680823376
-0.07647204052223708 -0.0016779865813776199 -0.023911074857391065	-0.0016779865813738469 -0.08663131781854078 -0.09224018689844625	0.023911074857388456 0.09224018689844475 -0.18344850175348193
