-0.08116422330182668 0.00290296716678675 0.012554335145926382	0.002902967166786649 -0.08873510757617364 -0.09499189423009992	-0.012554335145920921 0.09499189423010355 -0.20052337551698712
-0.07906654319371091 0.0038390604466876604 0.01277740862496625	0.003839060446686171 -0.08351535406263416 -0.09265594352264353	-0.012777408624957347 0.09265594352264338 -0.20273122546485972
-0.07755041743071746 0.0015210931092095393 0.012156822206133767	0.001521093109207279 -0.08420624821074627 -0.09571827323950044	-0.012156822206127082 0.09571827323949726 -0.1993047785328141
-0.08164455297704336 0.001716281402837222 0.011755097102704237	0.0017162814028398175 -0.08547124812919123 -0.09643759417705854	-0.011755097102700677 0.09643759417706042 -0.20264678537702324
-0.0811576582155686 0.002768744840783953 0.011905399759239911	0.0027687448407812103 -0.08669039170995618 -0.09539113399720846	-0.011905399759235394 0.09539113399720492 -0.20216142886830413
-0.08176293064099507 0.0021207978016598017 0.011612857960842264	0.0021207978016585167 -0.08958535377322002 -0.09629505561532983	-0.011612857960837053 0.09629505561533047 -0.20096679183043348
-0.08104066721474461 0.003999259521431128 0.012135919739479497	0.003999259521427953 -0.08909438142378565 -0.09447940772413219	-0.012135919739473994 0.09447940772413166 -0.20218013777514998
-0.07995268272474582 0.004821201357303153 0.012866105160121447	0.004821201357302721 -0.08707485177813415 -0.0944006278743987	-0.012866105160117124 0.09440062787439786 -0.20314302036811877
-0.08127951353193504 0.002699493029036779 0.011894740791159025	0.002699493029039101 -0.08626566588450313 -0.09433588299253848	-0.011894740791155944 0.09433588299253651 -0.20069262143528566
-0.08149525125216116 0.0028038346049292164 0.011874299993253318	0.0028038346049293356 -0.08541253747313403 -0.09441378840303319	-0.01187429999324446 0.09441378840303265 -0.20176208297589615
-0.08102380235315901 0.001802419051369737 0.012300075433790417	0.001802419051373582 -0.08567501051345744 -0.09600627902496002	-0.012300075433785074 0.0960062790249612 -0.20318289337726542
-0.07959388800163053 0.003181160876638979 0.011528670954691973	0.0031811608766369277 -0.08761935298344789 -0.09621912892534423	-0.011528670954688122 0.0962191289253443 -0.20212878053162092
-0.08036464862085305 0.004540731723379671 0.013140871741984333	0.004540731723376566 -0.0909632097560612 -0.09538289089406508	-0.013140871741978359 0.095382890894061 -0.2072888831008144
-0.08375392916301848 0.0038504555123258276 0.012196821319168001	0.0038504555123264 -0.09365631097810775 -0.09652486039652644	-0.012196821319161864 0.09652486039652729 -0.20423925688423983
-0.07976147564667158 0.007121955074295874 0.014754128688791276	0.0071219550742977235 -0.08952427858881933 -0.09202320887344209	-0.01475412868878281 0.09202320887344324 -0.21091783815810083
-0.0748007593388027 0.0008267259224997697 0.012155005535613345	0.0008267259224987288 -0.08320129639368143 -0.09616586819982814	-0.01215500553561269 0.09616586819982542 -0.1981398081569105
-0.07555634948048295 0.0008693079311069374 0.012495384301402793	0.0008693079311048826 -0.08061062544246608 -0.09423461197196105	-0.012495384301399924 0.094234611971963 -0.19911123172336864
-0.07736407177084495 0.001543203265810901 0.012381283457192402	0.0015432032658096381 -0.08459600320347796 -0.09491066183200214	-0.012381283457188565 0.09491066183200329 -0.2010726244228303
-0.08045340406721133 0.0013114066108911994 0.010890919836204924	0.0013114066108916623 -0.08445285115442214 -0.09608541918326537	-0.010890919836203654 0.09608541918326441 -0.20258332832789308
-0.08164695226503677 0.0017302888417616465 0.012364851961330334	0.0017302888417562122 -0.08618981857938438 -0.09621657327595619	-0.012364851961326095 0.09621657327595336 -0.20346232000094056
-0.07893472108298281 0.001526885656813236 0.01187152018161593	0.001526885656813543 -0.08582354000877637 -0.09675702844762973	-0.011871520181612027 0.0967570284476274 -0.20387592086316264
-0.07995126271586765 0.0015858925086971107 0.011297363499770875	0.001585892508695209 -0.08755884340628742 -0.09668552707531033	-0.011297363499766393 0.09668552707530928 -0.20640421998607575
-0.07782230841841903 0.001781860157574906 0.012008980917793552	0.0017818601575750334 -0.08524532741692119 -0.09656543492413072	-0.012008980917788157 0.09656543492412661 -0.20226742572427125
-0.0768740578053202 0.0013654323826981273 0.011373479333719148	0.0013654323827021544 -0.08307616054586123 -0.09603237120703163	-0.011373479333715422 0.09603237120703016 -0.1964168636780918
-0.0772550620662163 0.0022560708179267946 0.011960495601721924	0.002256070817926316 -0.08378476956179315 -0.0955907410070477	-0.01196049560172097 0.09559074100704423 -0.19970558823730067
-0.079518079151957 0.0023810668664301696 0.01198872811493261	0.0023810668664311255 -0.08525108158442346 -0.09586043952865718	-0.011988728114928612 0.09586043952865761 -0.20341824073955117
-0.0810423259367828 0.0028192305320739546 0.011910575522282377	0.0028192305320721635 -0.08599636498216702 -0.09553955397400318	-0.011910575522278317 0.09553955397400722 -0.20259823015274347
-0.0794169441136901 0.0033734019632512572 0.012618965781877607	0.003373401963248747 -0.08616600041754442 -0.09575361038359315	-0.012618965781871515 0.09575361038359062 -0.20121889250383013
-0.07987329403064797 0.0018858490797769947 0.01185531139377919	0.001885849079777513 -0.08791867325286798 -0.0964665883231882	-0.01185531139377586 0.09646658832318435 -0.20114556445220622
-0.07711030132049641 0.002475022037886315 0.0121155431353141	0.002475022037886235 -0.0868735470533879 -0.09581538389999544	-0.012115543135308375 0.09581538389998971 -0.2037881033826751
